UNIT_CODE,UNIT_NAME,STATE,REGION
LECL,Lewis and Clark National Historic Trail,IL,MW
RRBH,Ronald Reagan Boyhood Home National Historic Site,IL,MW
JEFF,Gateway Arch National Park,IL,MW
LIHO,Lincoln Home National Historic Site,IL,MW
PULL,Pullman National Monument,IL,MW
INDU,Indiana Dunes National Park,IN,MW
LIBO,Lincoln Boyhood National Memorial,IN,MW
GERO,George Rogers Clark National Historical Park,IN,MW
BRVB,Brown v. Board of Education National Historical Park,KS,MW
FOLS,Fort Larned National Historic Site,KS,MW
NICO,Nicodemus National Historic Site,KS,MW
FOSC,Fort Scott National Historic Site,KS,MW
TAPR,Tallgrass Prairie National Preserve,KS,MW
BISO,Big South Fork National River and Recreation Area,KY,SE
CUGA,Cumberland Gap National Historical Park,KY,SE
FODO,Fort Donelson National Battlefield,KY,SE
MACA,Mammoth Cave National Park,KY,SE
ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SE
CANE,Camp Nelson National Monument,KY,SE
MISP,Mill Springs Battlefield National Monument,KY,SE
VICK,Vicksburg National Military Park,LA,SE
CARI,Cane River Creole National Historical Park,LA,SE
JAZZ,New Orleans Jazz National Historical Park,LA,SE
JELA,Jean Lafitte National Historical Park and Preserve,LA,SE
POPO,Poverty Point National Monument,LA,SE
BLRV,Blackstone River Valley National Historical Park,MA,NE
BOST,Boston National Historical Park,MA,NE
SPAR,Springfield Armory National Historic Site,MA,NE
ADAM,Adams National Historical Park,MA,NE
JOFI,John Fitzgerald Kennedy National Historic Site,MA,NE
MIMA,Minute Man National Historical Park,MA,NE
SAMA,Salem Maritime National Historic Site,MA,NE
SAIR,Saugus Iron Works National Historic Site,MA,NE
CACO,Cape Cod National Seashore,MA,NE
LONG,Longfellow House-Washington's Headquarters National Historic Site,MA,NE
BOAF,Boston African American National Historic Site,MA,NE
BOHA,Boston Harbor Islands National Recreation Area,MA,NE
LOWE,Lowell National Historical Park,MA,NE
NEBE,New Bedford Whaling National Historical Park,MA,NE
FRLA,Frederick Law Olmsted National Historic Site,MA,NE
GWMP,George Washington Memorial Parkway,MD,NC
CAJO,Captain John Smith Chesapeake National Historic Trail,MD,NE
CLBA,Clara Barton National Historic Site,MD,NC
FOWA,Fort Washington Park,MD,NC
GREE,Greenbelt Park,MD,NC
ANTI,Antietam National Battlefield,MD,NC
HAFE,Harpers Ferry National Historical Park,MD,NC
CATO,Catoctin Mountain Park,MD,NC
PISC,Piscataway Park,MD,NC
MONO,Monocacy National Battlefield,MD,NC
ASIS,Assateague Island National Seashore,MD,NE
FOMC,Fort McHenry National Monument and Historic Shrine,MD,NE
HAMP,Hampton National Historic Site,MD,NE
THST,Thomas Stone National Historic Site,MD,NE
HATU,Harriet Tubman Underground Railroad National Historical Park,MD,NE
ACAD,Acadia National Park,ME,NE
KAWW,Katahdin Woods and Waters National Monument,ME,NE
KEWE,Keweenaw National Historical Park,MI,MW
ISRO,Isle Royale National Park,MI,MW
PIRO,Pictured Rocks National Lakeshore,MI,MW
RIRA,River Raisin National Battlefield Park,MI,MW
SLBE,Sleeping Bear Dunes National Lakeshore,MI,MW
NOCO,North Country National Scenic Trail,MI,MW
LOSA,Lower Saint Croix National Scenic Riverway,MN,MW
GRPO,Grand Portage National Monument,MN,MW
PIPE,Pipestone National Monument,MN,MW
SACN,Saint Croix National Scenic Riverway,MN,MW
MISS,Mississippi National River and Recreation Area,MN,MW
VOYA,Voyageurs National Park,MN,MW
GWCA,George Washington Carver National Monument,MO,MW
WICR,Wilson's Creek National Battlefield,MO,MW
HSTR,Harry S Truman National Historic Site,MO,MW
OZAR,Ozark National Scenic Riverways,MO,MW
ULSG,Ulysses S. Grant National Historic Site,MO,MW
STGE,Ste. Genevieve National Historical Park,MO,MW
BRCR,Brices Cross Roads National Battlefield Site,MS,SE
TUPE,Tupelo National Battlefield,MS,SE
SHIL,Shiloh National Military Park,MS,SE
NATC,Natchez National Historical Park,MS,SE
MEMY,Medgar and Myrlie Evers Home National Monument,MS,SE
BICA,Bighorn Canyon National Recreation Area,MT,IM
LIBI,Little Bighorn Battlefield National Monument,MT,IM
GLAC,Glacier National Park,MT,IM
FOUS,Fort Union Trading Post National Historic Site,MT,MW
BIHO,Big Hole National Battlefield,MT,PW
GRKO,Grant-Kohrs Ranch National Historic Site,MT,IM
BLRI,Blue Ridge Parkway,NC,SE
CARL,Carl Sandburg Home National Historic Site,NC,SE
GUCO,Guilford Courthouse National Military Park,NC,SE
WRBR,Wright Brothers National Memorial,NC,SE
CAHA,Cape Hatteras National Seashore,NC,SE
CALO,Cape Lookout National Seashore,NC,SE
GRSM,Great Smoky Mountains National Park,NC,SE
MOCR,Moores Creek National Battlefield,NC,SE
KNRI,Knife River Indian Villages National Historic Site,ND,MW
THRO,Theodore Roosevelt National Park,ND,MW
MNRR,Missouri National Recreational River,NE,MW
NIOB,Niobrara National Scenic River,NE,MW
HOME,Homestead National Historical Park,NE,MW
SCBL,Scotts Bluff National Monument,NE,MW
AGFO,Agate Fossil Beds National Monument,NE,MW
SAGA,Saint-Gaudens National Historical Park,NH,NE
GATE,Gateway National Recreation Area,NJ,NE
STLI,Statue of Liberty National Monument,NJ,NE
EDIS,Thomas Edison National Historical Park,NJ,NE
MORR,Morristown National Historical Park,NJ,NE
DEWA,Delaware Water Gap National Recreation Area,NJ,NE
DELA,Middle Delaware National Scenic River,NJ,NE
PAGR,Paterson Great Falls National Historical Park,NJ,NE
BAND,Bandelier National Monument,NM,IM
CAVO,Capulin Volcano National Monument,NM,IM
CAVE,Carlsbad Caverns National Park,NM,IM
FOUN,Fort Union National Monument,NM,IM
GICL,Gila Cliff Dwellings National Monument,NM,IM
SAPU,Salinas Pueblo Missions National Monument,NM,IM
