OID_,UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Lon
73,GLAC,Glacier National Park,MT,IM,48.618849779999998,-113.756269040000006
74,GLCA,Glen Canyon National Recreation Area,AZ,IM,37.398020740000000,-110.802127510000005
75,RABR,Rainbow Bridge National Monument,UT,IM,37.077887720000000,-110.965509859999997
76,GOSP,Golden Spike National Historical Park,UT,IM,41.616543970000002,-112.547886399999996
77,GRTE,Grand Teton National Park,WY,IM,43.826292930000001,-110.685574900000006
78,SAND,Sand Creek Massacre National Historic Site,CO,IM,38.563026880000002,-102.519305110000005
79,GRSA,Great Sand Dunes National Preserve,CO,IM,37.875520510000001,-105.505114899999995
80,JODR,"John D. Rockefeller, Jr., Memorial Parkway",WY,IM,44.088149289999997,-110.722850039999997
81,FOBU,Fossil Butte National Monument,WY,IM,41.856666709999999,-110.766353480000006
82,MEVE,Mesa Verde National Park,CO,IM,37.253530939999997,-108.455604750000006
83,HOVE,Hovenweep National Monument,CO,IM,37.383546899999999,-109.072992180000000
84,YUHO,Yucca House National Monument,CO,IM,37.248954480000002,-108.685954850000002
85,MORU,Mount Rushmore National Memorial,SD,MW,43.879935289999999,-103.453879590000000
86,BEOL,Bent's Old Fort National Historic Site,CO,IM,38.039962350000003,-103.426317979999993
87,FLFO,Florissant Fossil Beds National Monument,CO,IM,38.912561050000001,-105.286033770000003
88,BRCA,Bryce Canyon National Park,UT,IM,37.570795539999999,-112.185607939999997
89,CARE,Capitol Reef National Park,UT,IM,38.170602279999997,-111.142722789999993
90,CEBR,Cedar Breaks National Monument,UT,IM,37.633810709999999,-112.844728739999994
91,PISP,Pipe Spring National Monument,AZ,IM,36.862826579999997,-112.739857090000001
92,ZION,Zion National Park,UT,IM,37.279519280000002,-113.045716519999999
93,THRO,Theodore Roosevelt National Park,ND,MW,46.955750729999998,-103.462981260000007
94,FOUS,Fort Union Trading Post National Historic Site,MT,MW,47.998852180000000,-104.037696839999995
95,TICA,Timpanogos Cave National Monument,UT,IM,40.440397150000003,-111.709394349999997
96,WICA,Wind Cave National Park,SD,MW,43.575317349999999,-103.428776409999998
97,JECA,Jewel Cave National Monument,SD,MW,43.730994160000002,-103.831623199999996
